Frequency(Hz)	Amplitude
1.949310304969999947e+02	-1.051699897599999787e+02
1.953125002239999901e+02	-1.051699897596440394e+02
1.956939699509999855e+02	1.048509875360427868e+20
1.960754396779999809e+02	-1.051699897599948059e+02
1.964569094049999762e+02	-1.051699897599999218e+02
1.968383791320000000e+02	-1.051699897599143014e+02
1.972198488589999954e+02	-1.051699897599986855e+02
1.976013185859999908e+02	-1.051699897599999787e+02
1.979827883129999861e+02	-1.051699893935012682e+02
1.983642580399999815e+02	1.048509875360427868e+20
1.987457277669999769e+02	-1.051699897599948059e+02
1.991271974940000007e+02	-1.051699897599999218e+02
1.995086672209999961e+02	-1.051699897599986571e+02
1.998901369479999914e+02	-1.051699897599986855e+02
2.002716066749999868e+02	-1.051699897599999787e+02
2.006530764019999822e+02	-1.051699897599143867e+02
2.010345461289999776e+02	1.048509875360427868e+20
2.014160158560000013e+02	-1.051699897599948059e+02
2.017974855829999967e+02	-1.051699897599999218e+02
2.021789553099999921e+02	-1.051699894010080101e+02
2.025604250369999875e+02	-1.051699897599986855e+02
2.029418947639999828e+02	-1.051699897599999787e+02
2.033233644909999782e+02	-1.051699897599986286e+02
2.037048342180000020e+02	1.048509875360427868e+20
2.040863039449999974e+02	-1.051699897599948059e+02
2.044677736719999928e+02	-1.051699897599999218e+02
2.048492433989999881e+02	-1.051699897599986429e+02
2.052307131259999835e+02	-1.051699897599986855e+02
2.056121828529999789e+02	-1.051699897599999787e+02
2.059936525800000027e+02	-1.051699897545506843e+02
2.063751223069999980e+02	1.048509875360427868e+20
2.067565920339999934e+02	-1.051699897599948059e+02
2.071380617609999888e+02	-1.051699897599999218e+02
2.075195314879999842e+02	-1.051699893930917824e+02
2.079010012149999795e+02	-1.051699897599986855e+02
2.082824709420000033e+02	-1.051699897599999787e+02
2.086639406689999987e+02	-1.051699897543035434e+02
2.090454103959999941e+02	1.048509875360427868e+20
2.094268801229999895e+02	-1.051699897599948059e+02
2.098083498499999848e+02	-1.051699897599999218e+02
2.101898195769999802e+02	-1.051699894049661310e+02
2.105712893039999756e+02	-1.051699897599986855e+02
2.109527590309999994e+02	-1.051699897599999787e+02
2.113342287579999947e+02	-1.051699897599986429e+02
2.117156984849999901e+02	1.048509875360427868e+20
2.120971682119999855e+02	-1.051699897599948059e+02
2.124786379389999809e+02	-1.051699897599999218e+02
